### Footprint positions - created on Thu Mar  7 22:01:46 2024 ###
### Printed by KiCad version 7.0.9
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                      Package                                                       PosX       PosY       Rot  Side
C1        4u7                      C_0603_1608Metric                                          12.6250    13.3500  180.0000  top
C2        4u7                      C_0603_1608Metric                                          11.2750     7.6000  180.0000  top
C3        4u7                      C_0603_1608Metric                                          24.0000     9.5000  -90.0000  top
C4        100n                     C_0402_1005Metric                                          24.6000    16.2500  180.0000  top
C5        100n                     C_0402_1005Metric                                          31.7500     9.7500    0.0000  top
C6        100n                     C_0402_1005Metric                                          24.0000    12.0000   90.0000  top
C7        100n                     C_0402_1005Metric                                          27.2700    20.0000  180.0000  top
C8        100n                     C_0402_1005Metric                                          35.5000    15.5000    0.0000  top
C9        100n                     C_0402_1005Metric                                          25.0000    12.0000   90.0000  top
C10       4u7                      C_0603_1608Metric                                          26.5000    22.5000  180.0000  top
C11       100n                     C_0402_1005Metric                                          27.2700    21.0000  180.0000  top
C12       100n                     C_0402_1005Metric                                          35.0000    17.5000  -90.0000  top
C13       100n                     C_0402_1005Metric                                          22.7000     7.3500  180.0000  top
C14       4u7                      C_0603_1608Metric                                          30.7500    20.5000    0.0000  top
C15       0p8                      C_0402_1005Metric                                          37.0150    15.7700  -90.0000  top
C16       0p3                      C_0402_1005Metric                                          40.0150    15.7700  -90.0000  top
C17       10p                      C_0402_1005Metric                                          29.5000     9.2500  -90.0000  top
C18       10p                      C_0402_1005Metric                                          25.5000     9.2500  -90.0000  top
C19       100n                     C_0402_1005Metric                                          32.1500     2.4200  -90.0000  top
D1        LED                      LED_0402_1005Metric                                        16.9000     9.5850   90.0000  top
FLT1      DLF162500LT-5028A1       DLF162500LT-5028A1                                         41.6125    16.2275    0.0000  top
FM1       Fiducial                 Fiducial_1mm_Mask2mm                                        1.7500    23.2500    0.0000  top
FM2       Fiducial                 Fiducial_1mm_Mask2mm                                       41.4000    23.2500    0.0000  top
FM3       Fiducial                 Fiducial_1mm_Mask2mm                                        1.7500     1.7500    0.0000  top
J1        USB_C_Receptacle_USB2.0  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal     3.8500    12.8000  -90.0000  top
J3        Conn_01x04               Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal         12.3750     4.9500    0.0000  top
J4        Conn_01x04               Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal         36.5000     5.0000    0.0000  top
J5        Conn_Coaxial             U.FL_Hirose_U.FL-R-SMT-1_Vertical                          44.8000    16.2500    0.0000  top
L1        10n                      L_0402_1005Metric                                          28.7500    20.5000   90.0000  top
L2        10u                      L_0805_2012Metric                                          30.0000    22.5000    0.0000  top
L3        2n7                      L_0402_1005Metric                                          38.5150    16.2500    0.0000  top
R1        5k1                      R_0402_1005Metric                                           4.5000     6.7500  180.0000  top
R2        5k1                      R_0402_1005Metric                                           4.5000    18.8500    0.0000  top
R3        220R                     R_0402_1005Metric                                          17.9600     8.5200  -90.0000  top
R4        5k1                      R_0402_1005Metric                                          35.9500    12.3500  -90.0000  top
R5        220R                     R_0402_1005Metric                                          33.2500     9.2500   90.0000  top
R6        220R                     R_0402_1005Metric                                          34.2500     9.2400   90.0000  top
R7        5k1                      R_0402_1005Metric                                          38.0000    12.3500   90.0000  top
R8        5k1                      R_0402_1005Metric                                          31.5900     4.1000  180.0000  top
R9        220R                     R_0402_1005Metric                                          30.9500     2.4000  -90.0000  top
SW1       SW_Push                  SW_SPST_CK_RS282G05A3                                      25.0500     2.4000  180.0000  top
U1        USBLC6-2SC6              SOT-23-6                                                   11.7500    18.6625   90.0000  top
U2        MIC5365-3.3YD5           SOT-23-5                                                   12.4000    10.4625  -90.0000  top
U3        STM32WB55CEUx            QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                        30.0000    15.0000   90.0000  top
X1        32kHz768                 Crystal_SMD_2012-2Pin_2.0x1.2mm                            27.5000     9.2500  180.0000  top
X2        32MHz                    Crystal_SMD_2016-4Pin_2.0x1.6mm                            35.7500    21.2500   90.0000  top
## End
