Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0603_1608Metric,12.625,13.35,180,top
C2,4u7,C_0603_1608Metric,11.275,7.6,180,top
C3,4u7,C_0603_1608Metric,24,9.5,-90,top
C4,100n,C_0402_1005Metric,24.6,16.25,180,top
C5,100n,C_0402_1005Metric,31.75,9.75,0,top
C6,100n,C_0402_1005Metric,24,12,90,top
C7,100n,C_0402_1005Metric,27.27,20,180,top
C8,100n,C_0402_1005Metric,35.5,15.5,0,top
C9,100n,C_0402_1005Metric,25,12,90,top
C10,4u7,C_0603_1608Metric,26.5,22.5,180,top
C11,100n,C_0402_1005Metric,27.27,21,180,top
C12,100n,C_0402_1005Metric,35,17.5,-90,top
C13,100n,C_0402_1005Metric,22.7,7.35,180,top
C14,4u7,C_0603_1608Metric,30.75,20.5,0,top
C15,0p8,C_0402_1005Metric,37.015,15.77,-90,top
C16,0p3,C_0402_1005Metric,40.015,15.77,-90,top
C17,10p,C_0402_1005Metric,29.5,9.25,-90,top
C18,10p,C_0402_1005Metric,25.5,9.25,-90,top
C19,100n,C_0402_1005Metric,32.15,2.42,-90,top
D1,LED,LED_0402_1005Metric,16.9,9.585,90,top
FLT1,DLF162500LT-5028A1,DLF162500LT-5028A1,41.6125,16.2275,0,top
FM1,Fiducial,Fiducial_1mm_Mask2mm,1.75,23.25,0,top
FM2,Fiducial,Fiducial_1mm_Mask2mm,41.4,23.25,0,top
FM3,Fiducial,Fiducial_1mm_Mask2mm,1.75,1.75,0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3.85,12.8,-90,top
J3,Conn_01x04,Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal,12.375,4.95,0,top
J4,Conn_01x04,Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal,36.5,5,0,top
J5,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,44.8,16.25,0,top
L1,10n,L_0402_1005Metric,28.75,20.5,90,top
L2,10u,L_0805_2012Metric,30,22.5,0,top
L3,2n7,L_0402_1005Metric,38.515,16.25,0,top
R1,5k1,R_0402_1005Metric,4.5,6.75,180,top
R2,5k1,R_0402_1005Metric,4.5,18.85,0,top
R3,220R,R_0402_1005Metric,17.96,8.52,-90,top
R4,5k1,R_0402_1005Metric,35.95,12.35,-90,top
R5,220R,R_0402_1005Metric,33.25,9.25,90,top
R6,220R,R_0402_1005Metric,34.25,9.24,90,top
R7,5k1,R_0402_1005Metric,38,12.35,90,top
R8,5k1,R_0402_1005Metric,31.59,4.1,180,top
R9,220R,R_0402_1005Metric,30.95,2.4,-90,top
SW1,SW_Push,SW_SPST_CK_RS282G05A3,25.05,2.4,180,top
U1,USBLC6-2SC6,SOT-23-6,11.75,18.6625,90,top
U2,MIC5365-3.3YD5,SOT-23-5,12.4,10.4625,-90,top
U3,STM32WB55CEUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,30,15,90,top
X1,32kHz768,Crystal_SMD_2012-2Pin_2.0x1.2mm,27.5,9.25,180,top
X2,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,35.75,21.25,90,top
